Province,Date,Infected,Recovered,Deceased 
British Columbia,January 25,0,0,0
British Columbia,January 26,0,0,0
British Columbia,January 27,0,0,0
British Columbia,January 28,1,0,0
British Columbia,January 29,0,0,0
British Columbia,January 30,0,0,0
British Columbia,January 31,0,0,0
British Columbia,February 1,0,0,0
British Columbia,February 2,0,0,0
British Columbia,February 3,0,0,0
British Columbia,February 4,1,0,0
British Columbia,February 5,0,0,0
British Columbia,February 6,2,0,0
British Columbia,February 7,0,0,0
British Columbia,February 8,0,0,0
British Columbia,February 9,0,0,0
British Columbia,February 10,0,0,0
British Columbia,February 11,0,0,0
British Columbia,February 12,0,0,0
British Columbia,February 13,0,0,0
British Columbia,February 14,1,0,0
British Columbia,February 15,0,0,0
British Columbia,February 16,0,0,0
British Columbia,February 17,0,0,0
British Columbia,February 18,0,0,0
British Columbia,February 19,0,0,0
British Columbia,February 20,1,0,0
British Columbia,February 21,0,0,0
British Columbia,February 22,0,0,0
British Columbia,February 23,0,0,0
British Columbia,February 24,1,0,0
British Columbia,February 25,0,0,0
British Columbia,February 26,0,0,0
British Columbia,February 27,0,0,0
British Columbia,February 28,0,0,0
British Columbia,February 29,1,0,0
British Columbia,March 1,0,0,0
British Columbia,March 2,0,0,0
British Columbia,March 3,1,0,0
British Columbia,March 4,1,0,0
British Columbia,March 5,8,0,0
British Columbia,March 6,0,0,0
British Columbia,March 7,6,0,0
British Columbia,March 8,0,0,0
British Columbia,March 9,5,0,1
British Columbia,March 10,7,0,0
British Columbia,March 11,7,0,0
British Columbia,March 12,7,0,0
British Columbia,March 13,11,0,0
British Columbia,March 14,9,0,0
British Columbia,March 15,0,0,0
British Columbia,March 16,30,0,3
British Columbia,March 17,83,0,3
British Columbia,March 18,45,0,0
British Columbia,March 19,40,0,1
British Columbia,March 20,77,0,0
British Columbia,March 21,76,0,2
British Columbia,March 22,0,0,0
British Columbia,March 23,67,0,3
British Columbia,March 24,78,173,0
British Columbia,March 25,42,0,0
British Columbia,March 26,66,3,0
British Columbia,March 27,67,89,2
British Columbia,March 28,92,121,1
British Columbia,March 29,0,0,0
British Columbia,March 30,86,29,2
British Columbia,March 31,43,38,5
British Columbia,April 1,53,99,1
British Columbia,April 2,55,0,6
British Columbia,April 2,55,0,6
British Columbia,April 3,53,32,4
British Columbia,April 4,29,30,3
Alberta,January 25,0,0,0
Alberta,January 26,0,0,0
Alberta,January 27,0,0,0
Alberta,January 28,0,0,0
Alberta,January 29,0,0,0
Alberta,January 30,0,0,0
Alberta,January 31,0,0,0
Alberta,February 1,0,0,0
Alberta,February 2,0,0,0
Alberta,February 3,0,0,0
Alberta,February 4,0,0,0
Alberta,February 5,0,0,0
Alberta,February 6,0,0,0
Alberta,February 7,0,0,0
Alberta,February 8,0,0,0
Alberta,February 9,0,0,0
Alberta,February 10,0,0,0
Alberta,February 11,0,0,0
Alberta,February 12,0,0,0
Alberta,February 13,0,0,0
Alberta,February 14,0,0,0
Alberta,February 15,0,0,0
Alberta,February 16,0,0,0
Alberta,February 17,0,0,0
Alberta,February 18,0,0,0
Alberta,February 19,0,0,0
Alberta,February 20,0,0,0
Alberta,February 21,0,0,0
Alberta,February 22,0,0,0
Alberta,February 23,0,0,0
Alberta,February 24,0,0,0
Alberta,February 25,0,0,0
Alberta,February 26,0,0,0
Alberta,February 27,0,0,0
Alberta,February 28,0,0,0
Alberta,February 29,0,0,0
Alberta,March 1,0,0,0
Alberta,March 2,0,0,0
Alberta,March 3,0,0,0
Alberta,March 4,0,0,0
Alberta,March 5,1,0,0
Alberta,March 6,1,0,0
Alberta,March 7,0,0,0
Alberta,March 8,2,0,0
Alberta,March 9,3,0,0
Alberta,March 10,7,0,0
Alberta,March 11,5,0,0
Alberta,March 12,4,0,0
Alberta,March 13,6,0,0
Alberta,March 14,10,0,0
Alberta,March 15,17,0,0
Alberta,March 16,18,0,0
Alberta,March 17,23,0,0
Alberta,March 18,22,0,0
Alberta,March 19,27,0,1
Alberta,March 20,49,0,0
Alberta,March 21,31,0,0
Alberta,March 22,33,0,0
Alberta,March 23,42,0,0
Alberta,March 24,57,0,1
Alberta,March 25,61,0,0
Alberta,March 26,67,27,0
Alberta,March 27,56,6,0
Alberta,March 28,79,0,0
Alberta,March 29,40,0,1
Alberta,March 30,29,0,5
Alberta,March 31,64,0,1
Alberta,April 1,117,0,0
Alberta,April 2,97,0,2
Alberta,April 3,107,22,5
Alberta,April 4,106,0,2
Alberta,April 5,69,83,3
Saskatchewan,January 25,0,0,0
Saskatchewan,January 26,0,0,0
Saskatchewan,January 27,0,0,0
Saskatchewan,January 28,0,0,0
Saskatchewan,January 29,0,0,0
Saskatchewan,January 30,0,0,0
Saskatchewan,January 31,0,0,0
Saskatchewan,February 1,0,0,0
Saskatchewan,February 2,0,0,0
Saskatchewan,February 3,0,0,0
Saskatchewan,February 4,0,0,0
Saskatchewan,February 5,0,0,0
Saskatchewan,February 6,0,0,0
Saskatchewan,February 7,0,0,0
Saskatchewan,February 8,0,0,0
Saskatchewan,February 9,0,0,0
Saskatchewan,February 10,0,0,0
Saskatchewan,February 11,0,0,0
Saskatchewan,February 12,0,0,0
Saskatchewan,February 13,0,0,0
Saskatchewan,February 14,0,0,0
Saskatchewan,February 15,0,0,0
Saskatchewan,February 16,0,0,0
Saskatchewan,February 17,0,0,0
Saskatchewan,February 18,0,0,0
Saskatchewan,February 19,0,0,0
Saskatchewan,February 20,0,0,0
Saskatchewan,February 21,0,0,0
Saskatchewan,February 22,0,0,0
Saskatchewan,February 23,0,0,0
Saskatchewan,February 24,0,0,0
Saskatchewan,February 25,0,0,0
Saskatchewan,February 26,0,0,0
Saskatchewan,February 27,0,0,0
Saskatchewan,February 28,0,0,0
Saskatchewan,February 29,0,0,0
Saskatchewan,March 1,0,0,0
Saskatchewan,March 2,0,0,0
Saskatchewan,March 3,0,0,0
Saskatchewan,March 4,0,0,0
Saskatchewan,March 5,0,0,0
Saskatchewan,March 6,0,0,0
Saskatchewan,March 7,0,0,0
Saskatchewan,March 8,0,0,0
Saskatchewan,March 9,0,0,0
Saskatchewan,March 10,0,0,0
Saskatchewan,March 11,0,0,0
Saskatchewan,March 12,1,0,0
Saskatchewan,March 13,1,0,0
Saskatchewan,March 14,4,0,0
Saskatchewan,March 15,0,0,0
Saskatchewan,March 16,1,0,0
Saskatchewan,March 17,1,0,0
Saskatchewan,March 18,8,0,0
Saskatchewan,March 19,4,0,0
Saskatchewan,March 20,6,0,0
Saskatchewan,March 21,17,0,0
Saskatchewan,March 22,8,0,0
Saskatchewan,March 23,14,0,0
Saskatchewan,March 24,6,0,0
Saskatchewan,March 25,14,0,0
Saskatchewan,March 26,9,0,0
Saskatchewan,March 27,9,0,0
Saskatchewan,March 28,30,0,0
Saskatchewan,March 29,22,4,0
Saskatchewan,March 30,20,0,2
Saskatchewan,March 31,8,0,0
Saskatchewan,April 1,9,9,1
Saskatchewan,April 2,13,0,0
Saskatchewan,April 3,14,0,0
Saskatchewan,April 4,11,7,0
Saskatchewan,April 5,18,12,0
Manitoba,January 25,0,0,0
Manitoba,January 26,0,0,0
Manitoba,January 27,0,0,0
Manitoba,January 28,0,0,0
Manitoba,January 29,0,0,0
Manitoba,January 30,0,0,0
Manitoba,January 31,0,0,0
Manitoba,February 1,0,0,0
Manitoba,February 2,0,0,0
Manitoba,February 3,0,0,0
Manitoba,February 4,0,0,0
Manitoba,February 5,0,0,0
Manitoba,February 6,0,0,0
Manitoba,February 7,0,0,0
Manitoba,February 8,0,0,0
Manitoba,February 9,0,0,0
Manitoba,February 10,0,0,0
Manitoba,February 11,0,0,0
Manitoba,February 12,0,0,0
Manitoba,February 13,0,0,0
Manitoba,February 14,0,0,0
Manitoba,February 15,0,0,0
Manitoba,February 16,0,0,0
Manitoba,February 17,0,0,0
Manitoba,February 18,0,0,0
Manitoba,February 19,0,0,0
Manitoba,February 20,0,0,0
Manitoba,February 21,0,0,0
Manitoba,February 22,0,0,0
Manitoba,February 23,0,0,0
Manitoba,February 24,0,0,0
Manitoba,February 25,0,0,0
Manitoba,February 26,0,0,0
Manitoba,February 27,0,0,0
Manitoba,February 28,0,0,0
Manitoba,February 29,0,0,0
Manitoba,March 1,0,0,0
Manitoba,March 2,0,0,0
Manitoba,March 3,0,0,0
Manitoba,March 4,0,0,0
Manitoba,March 5,0,0,0
Manitoba,March 6,0,0,0
Manitoba,March 7,0,0,0
Manitoba,March 8,0,0,0
Manitoba,March 9,0,0,0
Manitoba,March 10,0,0,0
Manitoba,March 11,0,0,0
Manitoba,March 12,3,0,0
Manitoba,March 13,1,0,0
Manitoba,March 14,0,0,0
Manitoba,March 15,3,0,0
Manitoba,March 16,1,0,0
Manitoba,March 17,7,0,0
Manitoba,March 18,2,0,0
Manitoba,March 19,0,0,0
Manitoba,March 20,0,0,0
Manitoba,March 21,2,0,0
Manitoba,March 22,1,0,0
Manitoba,March 23,0,0,0
Manitoba,March 24,1,0,0
Manitoba,March 25,14,0,0
Manitoba,March 26,1,0,0
Manitoba,March 27,3,0,1
Manitoba,March 28,25,0,0
Manitoba,March 29,8,2,0
Manitoba,March 30,24,0,0
Manitoba,March 31,7,0,0
Manitoba,April 1,24,0,0
Manitoba,April 2,40,11,0
Manitoba,April 3,15,0,1
Manitoba,April 4,12,6,0
Manitoba,April 5,9,0,0
Ontario,January 25,1,0,0
Ontario,January 26,0,0,0
Ontario,January 27,1,0,0
Ontario,January 28,0,0,0
Ontario,January 29,0,0,0
Ontario,January 30,0,0,0
Ontario,January 31,1,0,0
Ontario,February 1,0,0,0
Ontario,February 2,0,0,0
Ontario,February 3,0,0,0
Ontario,February 4,0,0,0
Ontario,February 5,0,0,0
Ontario,February 6,0,0,0
Ontario,February 7,0,0,0
Ontario,February 8,0,0,0
Ontario,February 9,0,0,0
Ontario,February 10,0,0,0
Ontario,February 11,0,0,0
Ontario,February 12,0,0,0
Ontario,February 13,0,0,0
Ontario,February 14,0,0,0
Ontario,February 15,0,0,0
Ontario,February 16,0,0,0
Ontario,February 17,0,0,0
Ontario,February 18,0,0,0
Ontario,February 19,0,0,0
Ontario,February 20,0,0,0
Ontario,February 21,0,0,0
Ontario,February 22,0,0,0
Ontario,February 23,1,0,0
Ontario,February 24,0,0,0
Ontario,February 25,0,0,0
Ontario,February 26,1,0,0
Ontario,February 27,1,0,0
Ontario,February 28,2,0,0
Ontario,February 29,3,0,0
Ontario,March 1,4,0,0
Ontario,March 2,3,0,0
Ontario,March 3,2,0,0
Ontario,March 4,0,0,0
Ontario,March 5,3,0,0
Ontario,March 6,5,0,0
Ontario,March 7,0,0,0
Ontario,March 8,4,0,0
Ontario,March 9,3,0,0
Ontario,March 10,2,0,0
Ontario,March 11,5,0,0
Ontario,March 12,17,0,0
Ontario,March 13,19,0,0
Ontario,March 14,24,0,0
Ontario,March 15,42,0,0
Ontario,March 16,32,0,0
Ontario,March 17,14,0,1
Ontario,March 18,23,0,0
Ontario,March 19,43,0,1
Ontario,March 20,50,0,0
Ontario,March 21,59,0,1
Ontario,March 22,47,2,2
Ontario,March 23,78,0,0
Ontario,March 24,85,0,1
Ontario,March 25,100,0,5
Ontario,March 26,170,0,2
Ontario,March 27,135,0,3
Ontario,March 28,151,0,1
Ontario,March 29,211,0,2
Ontario,March 30,351,423,10
Ontario,March 31,260,80,0
Ontario,April 1,426,0,0
Ontario,April 2,401,0,16
Ontario,April 3,462,0,14
Ontario,April 4,375,196,27
Ontario,April 5,408,0,25
Quebec,January 25,0,0,0
Quebec,January 26,0,0,0
Quebec,January 27,0,0,0
Quebec,January 28,0,0,0
Quebec,January 29,0,0,0
Quebec,January 30,0,0,0
Quebec,January 31,0,0,0
Quebec,February 1,0,0,0
Quebec,February 2,0,0,0
Quebec,February 3,0,0,0
Quebec,February 4,0,0,0
Quebec,February 5,0,0,0
Quebec,February 6,0,0,0
Quebec,February 7,0,0,0
Quebec,February 8,0,0,0
Quebec,February 9,0,0,0
Quebec,February 10,0,0,0
Quebec,February 11,0,0,0
Quebec,February 12,0,0,0
Quebec,February 13,0,0,0
Quebec,February 14,0,0,0
Quebec,February 15,0,0,0
Quebec,February 16,0,0,0
Quebec,February 17,0,0,0
Quebec,February 18,0,0,0
Quebec,February 19,0,0,0
Quebec,February 20,0,0,0
Quebec,February 21,0,0,0
Quebec,February 22,0,0,0
Quebec,February 23,0,0,0
Quebec,February 24,0,0,0
Quebec,February 25,0,0,0
Quebec,February 26,0,0,0
Quebec,February 27,1,0,0
Quebec,February 28,0,0,0
Quebec,February 29,0,0,0
Quebec,March 1,0,0,0
Quebec,March 2,0,0,0
Quebec,March 3,0,0,0
Quebec,March 4,0,0,0
Quebec,March 5,2,0,0
Quebec,March 6,0,0,0
Quebec,March 7,0,0,0
Quebec,March 8,1,0,0
Quebec,March 9,1,0,0
Quebec,March 10,2,0,0
Quebec,March 11,2,0,0
Quebec,March 12,8,0,0
Quebec,March 13,0,0,0
Quebec,March 14,4,0,0
Quebec,March 15,11,0,0
Quebec,March 16,18,0,0
Quebec,March 17,24,0,0
Quebec,March 18,20,0,1
Quebec,March 19,27,0,0
Quebec,March 20,18,0,0
Quebec,March 21,42,0,3
Quebec,March 22,38,0,0
Quebec,March 23,409,0,0
Quebec,March 24,385,0,0
Quebec,March 25,326,0,2
Quebec,March 26,290,1,2
Quebec,March 27,392,28,10
Quebec,March 28,477,0,4
Quebec,March 29,342,0,0
Quebec,March 30,590,0,3
Quebec,March 31,732,0,6
Quebec,April 1,449,0,2
Quebec,April 2,907,0,3
Quebec,April 3,583,0,25
Quebec,April 4,896,0,14
Quebec,April 5,947,0,19
New Brunswick,January 25,0,0,0
New Brunswick,January 26,0,0,0
New Brunswick,January 27,0,0,0
New Brunswick,January 28,0,0,0
New Brunswick,January 29,0,0,0
New Brunswick,January 30,0,0,0
New Brunswick,January 31,0,0,0
New Brunswick,February 1,0,0,0
New Brunswick,February 2,0,0,0
New Brunswick,February 3,0,0,0
New Brunswick,February 4,0,0,0
New Brunswick,February 5,0,0,0
New Brunswick,February 6,0,0,0
New Brunswick,February 7,0,0,0
New Brunswick,February 8,0,0,0
New Brunswick,February 9,0,0,0
New Brunswick,February 10,0,0,0
New Brunswick,February 11,0,0,0
New Brunswick,February 12,0,0,0
New Brunswick,February 13,0,0,0
New Brunswick,February 14,0,0,0
New Brunswick,February 15,0,0,0
New Brunswick,February 16,0,0,0
New Brunswick,February 17,0,0,0
New Brunswick,February 18,0,0,0
New Brunswick,February 19,0,0,0
New Brunswick,February 20,0,0,0
New Brunswick,February 21,0,0,0
New Brunswick,February 22,0,0,0
New Brunswick,February 23,0,0,0
New Brunswick,February 24,0,0,0
New Brunswick,February 25,0,0,0
New Brunswick,February 26,0,0,0
New Brunswick,February 27,0,0,0
New Brunswick,February 28,0,0,0
New Brunswick,February 29,0,0,0
New Brunswick,March 1,0,0,0
New Brunswick,March 2,0,0,0
New Brunswick,March 3,0,0,0
New Brunswick,March 4,0,0,0
New Brunswick,March 5,0,0,0
New Brunswick,March 6,0,0,0
New Brunswick,March 7,0,0,0
New Brunswick,March 8,0,0,0
New Brunswick,March 9,0,0,0
New Brunswick,March 10,0,0,0
New Brunswick,March 11,1,0,0
New Brunswick,March 12,0,0,0
New Brunswick,March 13,0,0,0
New Brunswick,March 14,1,0,0
New Brunswick,March 15,4,0,0
New Brunswick,March 16,1,0,0
New Brunswick,March 17,1,0,0
New Brunswick,March 18,3,0,0
New Brunswick,March 19,0,0,0
New Brunswick,March 20,0,0,0
New Brunswick,March 21,6,0,0
New Brunswick,March 22,0,0,0
New Brunswick,March 23,0,0,0
New Brunswick,March 24,1,0,0
New Brunswick,March 25,8,0,0
New Brunswick,March 26,7,0,0
New Brunswick,March 27,12,0,0
New Brunswick,March 28,6,0,0
New Brunswick,March 29,15,2,0
New Brunswick,March 30,2,0,0
New Brunswick,March 31,2,9,0
New Brunswick,April 1,11,5,0
New Brunswick,April 2,10,0,0
New Brunswick,April 3,4,0,0
New Brunswick,April 4,3,14,0
New Brunswick,April 5,3,0,0
Nova Scotia,January 25,0,0,0
Nova Scotia,January 26,0,0,0
Nova Scotia,January 27,0,0,0
Nova Scotia,January 28,0,0,0
Nova Scotia,January 29,0,0,0
Nova Scotia,January 30,0,0,0
Nova Scotia,January 31,0,0,0
Nova Scotia,February 1,0,0,0
Nova Scotia,February 2,0,0,0
Nova Scotia,February 3,0,0,0
Nova Scotia,February 4,0,0,0
Nova Scotia,February 5,0,0,0
Nova Scotia,February 6,0,0,0
Nova Scotia,February 7,0,0,0
Nova Scotia,February 8,0,0,0
Nova Scotia,February 9,0,0,0
Nova Scotia,February 10,0,0,0
Nova Scotia,February 11,0,0,0
Nova Scotia,February 12,0,0,0
Nova Scotia,February 13,0,0,0
Nova Scotia,February 14,0,0,0
Nova Scotia,February 15,0,0,0
Nova Scotia,February 16,0,0,0
Nova Scotia,February 17,0,0,0
Nova Scotia,February 18,0,0,0
Nova Scotia,February 19,0,0,0
Nova Scotia,February 20,0,0,0
Nova Scotia,February 21,0,0,0
Nova Scotia,February 22,0,0,0
Nova Scotia,February 23,0,0,0
Nova Scotia,February 24,0,0,0
Nova Scotia,February 25,0,0,0
Nova Scotia,February 26,0,0,0
Nova Scotia,February 27,0,0,0
